global_index,gene_symbol,in_vcc_output,go_terms,reactome_pathways,string_degree,grn_out_degree,grn_in_degree,active_prior_count
11893,VWA3B,1,3,0,17,0,0,2
11894,ZNF30,1,5,2,2,0,0,3
11895,UGT3A2,1,9,2,31,0,0,3
11896,LRATD2,1,3,0,16,0,0,2
11897,LDLRAD4,1,9,0,32,0,0,2
11898,KCTD19,1,5,0,56,0,0,2
11899,SLC16A4,1,8,0,36,0,1,3
11900,IL7R,1,28,3,91,0,21,4
11901,TMEM208,1,2,0,34,0,0,2
11902,LRP1B,1,8,0,42,0,1,3
11903,WFDC12,1,7,0,20,0,1,3
11904,AHCYL1,1,17,10,38,0,2,4
11905,DNAJC21,1,10,0,35,0,0,2
11906,PKIG,1,4,0,7,0,1,3
11907,NPNT,1,17,2,23,0,3,4
11908,CA7,1,4,1,32,0,0,3
11909,FAM178B,1,0,0,21,0,0,1
11910,SEMA4C,1,20,0,23,0,0,2
11911,CNNM3,1,6,0,27,0,0,2
11912,GSTM4,1,11,2,38,0,1,4
11913,TET2,1,15,2,42,1,4,4
11914,CXXC4,1,9,1,29,0,0,3
11915,TCTN2,1,7,1,34,0,0,3
11916,SHOX2,1,22,0,33,6,2,3
11917,PPIP5K1,1,12,1,32,0,0,3
11918,TSPAN5,1,10,1,33,0,0,3
11919,ABHD15,1,8,0,29,0,0,2
11920,ZBTB5,1,8,0,9,1,0,3
11921,CHTF8,1,9,1,34,0,0,3
11922,ADAL,1,8,0,24,0,0,2
11923,LCMT2,1,7,1,21,0,0,3
11924,SNTB2,1,13,1,35,0,0,3
11925,IL12A,1,49,4,34,0,23,4
11926,ZNF507,1,4,0,18,0,1,3
11927,STX18,1,16,1,69,0,1,4
11928,NSG1,1,40,0,17,0,0,2
11929,ZBTB49,1,18,0,7,0,0,2
11930,GFM1,1,10,1,63,0,0,3
11931,OR13J1,1,6,1,17,0,0,3
11932,HTR1E,1,15,2,34,0,0,3
11933,FSTL5,1,4,0,16,0,0,2
11934,DDX19A,1,14,0,38,0,0,2
11935,ATOH8,1,24,0,12,4,2,3
11936,SOX14,1,17,0,18,1,3,3
11937,ANKRD49,1,3,0,37,0,0,2
11938,SFTPB,1,14,4,37,0,27,4
11939,USP39,1,18,1,71,0,0,3
11940,TNIP2,1,22,2,32,0,6,4
11941,C2orf68,1,1,0,14,0,0,2
11942,TMEM150A,1,4,0,22,0,0,2
11943,RNF181,1,7,1,34,0,0,3
11944,VAMP5,1,15,0,37,0,0,2
11945,BTNL3,1,8,0,19,0,0,2
11946,LRRC28,1,1,0,23,0,0,2
11947,MAT2A,1,13,1,40,0,24,4
11948,PLA2G4F,1,16,6,43,0,0,3
11949,ENHO,1,6,0,11,0,2,3
11950,ZNF608,1,3,0,38,0,0,2
11951,SLC35G2,1,5,0,15,0,0,2
11952,INPP5D,1,25,6,57,0,4,4
11953,LETM1,1,20,3,33,0,0,3
11954,CTRB1,1,4,2,61,0,0,3
11955,CTRB2,1,3,2,61,0,0,3
11956,TRIM49,1,7,0,19,0,0,2
11957,TMEM129,1,10,1,38,0,0,3
11958,PPIC,1,5,0,38,0,0,2
11959,SPRY3,1,11,0,32,0,0,2
11960,CEP120,1,12,0,55,0,0,2
11961,STXBP6,1,8,0,43,0,1,3
11962,TM4SF20,1,5,0,17,0,0,2
11963,MFF,1,15,0,41,0,0,2
