term_index,term_id
406,R-HSA-1963640
407,R-HSA-1963642
408,R-HSA-196757
409,R-HSA-196780
410,R-HSA-196783
411,R-HSA-196791
412,R-HSA-196807
413,R-HSA-196819
414,R-HSA-196836
415,R-HSA-196843
416,R-HSA-1971475
417,R-HSA-198203
418,R-HSA-198323
419,R-HSA-198693
420,R-HSA-198745
421,R-HSA-198753
422,R-HSA-198765
423,R-HSA-198933
424,R-HSA-1989781
425,R-HSA-199220
426,R-HSA-199418
427,R-HSA-199920
428,R-HSA-199992
429,R-HSA-200425
430,R-HSA-201451
431,R-HSA-201556
432,R-HSA-201681
433,R-HSA-201688
434,R-HSA-201722
435,R-HSA-202040
436,R-HSA-2022090
437,R-HSA-2022377
438,R-HSA-2022854
439,R-HSA-2022857
440,R-HSA-2022870
441,R-HSA-2022923
442,R-HSA-2022928
443,R-HSA-2023837
444,R-HSA-2024096
445,R-HSA-2024101
446,R-HSA-202424
447,R-HSA-202427
448,R-HSA-202430
449,R-HSA-202433
450,R-HSA-2025928
451,R-HSA-202670
452,R-HSA-202733
453,R-HSA-2028269
454,R-HSA-2029481
455,R-HSA-2029482
456,R-HSA-2029485
457,R-HSA-2032785
458,R-HSA-2033515
459,R-HSA-2033519
460,R-HSA-203615
461,R-HSA-203641
462,R-HSA-203754
463,R-HSA-203927
464,R-HSA-204005
465,R-HSA-204174
466,R-HSA-2046105
467,R-HSA-2046106
468,R-HSA-204626
469,R-HSA-205017
470,R-HSA-205025
471,R-HSA-205043
472,R-HSA-209543
473,R-HSA-209560
474,R-HSA-209563
475,R-HSA-209822
476,R-HSA-209905
477,R-HSA-209931
478,R-HSA-209952
479,R-HSA-209968
480,R-HSA-210455
481,R-HSA-210500
482,R-HSA-210744
483,R-HSA-210745
484,R-HSA-210746
485,R-HSA-210747
486,R-HSA-210990
487,R-HSA-210991
488,R-HSA-210993
489,R-HSA-211163
490,R-HSA-211728
491,R-HSA-211733
492,R-HSA-211736
493,R-HSA-211897
494,R-HSA-211916
495,R-HSA-211935
496,R-HSA-211945
497,R-HSA-211957
498,R-HSA-211958
499,R-HSA-211976
500,R-HSA-211979
501,R-HSA-211981
502,R-HSA-211994
503,R-HSA-211999
504,R-HSA-2122947
505,R-HSA-2122948
506,R-HSA-212300
507,R-HSA-212436
508,R-HSA-212676
509,R-HSA-212718
510,R-HSA-2129379
511,R-HSA-2132295
512,R-HSA-2142670
513,R-HSA-2142688
514,R-HSA-2142691
515,R-HSA-2142696
516,R-HSA-2142700
517,R-HSA-2142712
518,R-HSA-2142753
519,R-HSA-2142770
520,R-HSA-2142789
521,R-HSA-2142816
522,R-HSA-2142845
523,R-HSA-2151201
524,R-HSA-2151209
525,R-HSA-2160456
526,R-HSA-216083
527,R-HSA-2160916
528,R-HSA-2161517
529,R-HSA-2161541
530,R-HSA-2162123
531,R-HSA-2168880
532,R-HSA-2172127
533,R-HSA-217271
534,R-HSA-2173788
535,R-HSA-2173789
536,R-HSA-2173791
537,R-HSA-2173795
538,R-HSA-2173796
539,R-HSA-2179392
540,R-HSA-2187335
541,R-HSA-2197563
542,R-HSA-2206280
543,R-HSA-2206282
544,R-HSA-2206285
545,R-HSA-2206290
546,R-HSA-2206291
547,R-HSA-2206292
548,R-HSA-2206296
549,R-HSA-2206302
550,R-HSA-2206305
551,R-HSA-2206307
552,R-HSA-2206308
553,R-HSA-2214320
554,R-HSA-2219530
555,R-HSA-2243919
556,R-HSA-2299718
557,R-HSA-2393930
558,R-HSA-2395516
559,R-HSA-2404192
560,R-HSA-2408508
561,R-HSA-2408522
562,R-HSA-2408550
563,R-HSA-2408552
564,R-HSA-2408557
565,R-HSA-2424491
566,R-HSA-2426168
567,R-HSA-2428928
568,R-HSA-2428933
569,R-HSA-2453902
570,R-HSA-2454202
571,R-HSA-2465910
572,R-HSA-2466712
573,R-HSA-2467813
574,R-HSA-2468052
575,R-HSA-2470946
576,R-HSA-2473224
577,R-HSA-2485179
578,R-HSA-2500257
579,R-HSA-2514853
580,R-HSA-2514859
581,R-HSA-2534343
582,R-HSA-2559580
583,R-HSA-2559582
584,R-HSA-2559584
585,R-HSA-2559585
586,R-HSA-2559586
587,R-HSA-2562578
588,R-HSA-2564830
589,R-HSA-2565942
590,R-HSA-2586552
591,R-HSA-2644606
592,R-HSA-2644607
593,R-HSA-264642
594,R-HSA-264870
595,R-HSA-264876
596,R-HSA-2660826
597,R-HSA-2672351
598,R-HSA-2682334
599,R-HSA-2691232
600,R-HSA-2730905
601,R-HSA-2855086
602,R-HSA-2871796
603,R-HSA-2871809
604,R-HSA-2871837
605,R-HSA-2892245
606,R-HSA-2892247
607,R-HSA-2894862
608,R-HSA-2978092
609,R-HSA-2979096
610,R-HSA-2980766
611,R-HSA-2980767
612,R-HSA-2995383
613,R-HSA-3000157
614,R-HSA-3000170
615,R-HSA-3000171
616,R-HSA-3000178
617,R-HSA-3000471
618,R-HSA-3000480
619,R-HSA-3000484
620,R-HSA-3000497
621,R-HSA-3065676
622,R-HSA-3065678
623,R-HSA-3065679
624,R-HSA-3108214
625,R-HSA-3134963
626,R-HSA-3134973
627,R-HSA-3134975
628,R-HSA-3214815
629,R-HSA-3214841
630,R-HSA-3214842
631,R-HSA-3214847
632,R-HSA-3214858
633,R-HSA-3229133
634,R-HSA-3232118
635,R-HSA-3232142
636,R-HSA-3238698
637,R-HSA-3247509
638,R-HSA-3248023
639,R-HSA-3249367
640,R-HSA-3270619
641,R-HSA-3282872
642,R-HSA-3295583
643,R-HSA-3296197
644,R-HSA-3299685
645,R-HSA-3301854
646,R-HSA-3304356
647,R-HSA-3311021
648,R-HSA-3315487
649,R-HSA-3322077
650,R-HSA-3359454
651,R-HSA-3359457
652,R-HSA-3359462
653,R-HSA-3359463
654,R-HSA-3359467
655,R-HSA-3359469
656,R-HSA-3359471
657,R-HSA-3359473
658,R-HSA-3359474
659,R-HSA-3359475
660,R-HSA-3359478
661,R-HSA-3359485
662,R-HSA-3371378
663,R-HSA-3371453
664,R-HSA-3371497
665,R-HSA-3371511
666,R-HSA-3371568
667,R-HSA-3371571
668,R-HSA-3371598
669,R-HSA-3371599
670,R-HSA-349425
671,R-HSA-350054
672,R-HSA-350562
673,R-HSA-350864
674,R-HSA-351143
675,R-HSA-351200
676,R-HSA-351202
677,R-HSA-351906
678,R-HSA-352230
679,R-HSA-352238
680,R-HSA-354192
681,R-HSA-354194
682,R-HSA-3560783
683,R-HSA-3560792
684,R-HSA-3560796
685,R-HSA-3560801
686,R-HSA-3595172
687,R-HSA-3595174
688,R-HSA-3595177
689,R-HSA-3642279
690,R-HSA-3645790
691,R-HSA-3656225
692,R-HSA-3656234
693,R-HSA-3656237
694,R-HSA-3656243
695,R-HSA-3656244
696,R-HSA-3656248
697,R-HSA-3656253
698,R-HSA-3656532
699,R-HSA-3656535
700,R-HSA-372708
701,R-HSA-373076
702,R-HSA-373080
703,R-HSA-373752
704,R-HSA-373753
705,R-HSA-373756
706,R-HSA-373760
707,R-HSA-375165
708,R-HSA-375276
709,R-HSA-375280
710,R-HSA-375281
711,R-HSA-376172
712,R-HSA-376176
